model_name,roc_auc,recall,precision,f1_score,accuracy
logistic_regression,0.7637981719751157,0.7977288857345636,0.8086574108190939,0.8019154881663504,0.7977288857345636
random_forest,0.7454079414535179,0.7984386089425124,0.8002149307688904,0.7992829347650338,0.7984386089425124
xgboost,0.7433674578446696,0.7714691270404542,0.7910149871959292,0.7783321677109644,0.7714691270404542
lightgbm,0.7153273054747586,0.7806955287437899,0.7793984560273154,0.7800260737256716,0.7806955287437899
