mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1340898036956788,0.06022546637054326,0.05698761940002441,0.004435715776415162,100,5,2,30,False,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 30, 'model__bootstrap': False}",0.8410876132930514,0.827790973871734,0.8542413381123058,0.8329297820823245,0.8422960725075529,0.8396691559733938,0.00903074276478491,2
1.0094423770904541,0.061398720280474245,0.056294584274291994,0.005321457470424897,100,10,4,30,False,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_depth': 30, 'model__bootstrap': False}",0.8397590361445784,0.8201183431952662,0.8527498521584861,0.835820895522388,0.8464285714285714,0.838975339689858,0.011058380279545726,4
0.8419146060943603,0.023830732067253772,0.05206475257873535,0.0065732545708591435,100,5,1,10,False,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 10, 'model__bootstrap': False}",0.8382089552238806,0.8235294117647058,0.8448377581120944,0.8419182948490231,0.8315665488810365,0.836012193766148,0.007657440588967106,8
1.1011980056762696,0.04277660416706387,0.06811366081237794,0.008437021158088757,100,10,2,20,False,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 20, 'model__bootstrap': False}",0.8498789346246973,0.8266033254156769,0.8513189448441247,0.8421052631578947,0.8419161676646707,0.8423645271414129,0.008778742963458454,1
0.8412428379058838,0.053643736391858744,0.061693859100341794,0.006573412577340222,100,10,2,,True,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': None, 'model__bootstrap': True}",0.8426763110307414,0.8219339622641509,0.8426698450536353,0.8435619735258725,0.8368200836820083,0.8375324351112816,0.008161220173541206,6
1.2908592224121094,0.024573300908335174,0.06383833885192872,0.006721455022039863,100,5,1,,False,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__bootstrap': False}",0.8345588235294118,0.8207885304659498,0.847682119205298,0.8310893512851897,0.8429351121892056,0.835410787335011,0.00938522347294646,9
4.851255321502686,0.06113265475837437,0.1413693904876709,0.0034329786256785655,500,2,4,20,False,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 20, 'model__bootstrap': False}",0.8435045317220544,0.8247787610619469,0.8534124629080119,0.8356246264196056,0.8379022646007152,0.8390445293424668,0.009411076299184647,3
1.4673275470733642,0.06408881000310683,0.07399287223815917,0.010226948904164286,200,2,4,20,True,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 20, 'model__bootstrap': True}",0.8361445783132531,0.8228369629193644,0.8471563981042654,0.838479809976247,0.8370149253731344,0.8363265349372527,0.007802538977035616,7
2.0058372974395753,0.07262721730966229,0.08301353454589844,0.009010169369386072,200,10,2,30,False,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 30, 'model__bootstrap': False}",0.8415300546448088,0.8236686390532545,0.8501492537313433,0.8374622356495468,0.8419161676646707,0.8389452701487248,0.008678841397489383,5
1.5335997581481933,0.047177663113649446,0.05752806663513184,0.008662284284464824,200,5,1,10,False,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 10, 'model__bootstrap': False}",0.8419797257006559,0.8244186046511628,0.8422917897223863,0.833926453143535,0.8321596244131455,0.8349552395261771,0.006679265147718416,10
